Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Fibonacci Page/Fibonacci - Exception,Chrome 65.0.3325.181,Exception Test Factorial page,2018-03-26 22:22:56,2018-03-26 22:23:13,17.133s,FAILED
Statement - data = data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(ExceptionTestData),Chrome 65.0.3325.181,,2018-03-26 22:22:56,2018-03-26 22:22:56,0.024s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:56,2018-03-26 22:22:58,2.049s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Navigate to Factorial link directly,2018-03-26 22:22:58,2018-03-26 22:22:59,1.176s,PASSED
click,Chrome 65.0.3325.181,Click on Submit,2018-03-26 22:22:59,2018-03-26 22:22:59,0.214s,PASSED
verifyElementNotPresent,Chrome 65.0.3325.181,Internal Server Error will occur at this step,2018-03-26 22:22:59,2018-03-26 22:23:01,1.495s,FAILED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,,2018-03-26 22:23:01,2018-03-26 22:23:12,11.217s,FAILED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:23:12,2018-03-26 22:23:13,0.733s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Exception,Chrome 65.0.3325.181,Exception Test Hello page,2018-03-26 22:23:13,2018-03-26 22:23:23,9.981s,FAILED
Statement - data = data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(HelloExceptionData),Chrome 65.0.3325.181,,2018-03-26 22:23:13,2018-03-26 22:23:13,0.006s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:23:13,2018-03-26 22:23:16,2.695s,PASSED
Statement - For (def index : (1..data.getRowNumbers())),Chrome 65.0.3325.181,,2018-03-26 22:23:16,2018-03-26 22:23:22,6.348s,FAILED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:23:22,2018-03-26 22:23:23,0.710s,PASSED
